,MBTI,created_prof,user_screen_name,tweets,id_,loc,descr,prot,followers,follow,friends,fav,timeZ,geo_en,prof_bg_col,prof_bkim_url,prof_image_url
138,ENFJ,,ankle_burn,,,,,,,,,,,,,,http://pbs.twimg.com/profile_images/1050200042118627329/XsPHBe77_normal.jpg
139,ENFJ,,starytea,,,,,,,,,,,,,,http://pbs.twimg.com/profile_images/1145559731601387521/CI_052AS_normal.jpg
140,ENFJ,,Rev_Parazaider,,,Bay Area,,,,,,,,,,,http://pbs.twimg.com/profile_images/1017328656664821760/ZdocLuuZ_normal.jpg
141,ENFJ,,Rev_Parazaider,,,Bay Area,,,,,,,,,,,http://pbs.twimg.com/profile_images/1017328656664821760/ZdocLuuZ_normal.jpg
142,ENFJ,,Roland00Address,,,,,,,,,,,,,,http://pbs.twimg.com/profile_images/897307124081893377/SVxO4M05_normal.jpg
143,ENFJ,,jungkookitis,,,,,,,,,,,,,,http://pbs.twimg.com/profile_images/1131071687347167232/R8XO27NL_normal.jpg
144,ENFJ,,shafirarz,,,,,,,,,,,,,,http://pbs.twimg.com/profile_images/1139099834537799681/BLQmx-mJ_normal.jpg
145,ENFJ,,CaptainMerca1st,,,United States,,,,,,,,,,,http://pbs.twimg.com/profile_images/879336448113205249/CkdZyAeT_normal.jpg
146,ENFJ,,scoliosleep,,,region 4 back pain,,,,,,,,,,,http://pbs.twimg.com/profile_images/1147832002105634817/vaPNVVyF_normal.jpg
147,ENFJ,,Robertwbaird,,,New Orleans,,,,,,,,,,,http://pbs.twimg.com/profile_images/1144903072776413185/sqWb7yVn_normal.png
148,ENFJ,,mikkaline,,,Midgard,,,,,,,,,,,http://pbs.twimg.com/profile_images/1138286222097281026/cwkNq7oX_normal.jpg
149,ENFJ,,ca5Hmz,,,na merda ,,,,,,,,,,,http://pbs.twimg.com/profile_images/876459981528322055/skVzGZlD_normal.jpg
150,ENFJ,,ca5Hmz,,,na merda ,,,,,,,,,,,http://pbs.twimg.com/profile_images/876459981528322055/skVzGZlD_normal.jpg
151,ENFJ,,prodohyon,,,,,,,,,,,,,,http://pbs.twimg.com/profile_images/1149770416707252225/rLJ1bW6-_normal.jpg
152,ENFJ,,jelleh47,,,,,,,,,,,,,,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png
153,ENFJ,,aspiedraw,,,,,,,,,,,,,,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png
154,ENFJ,,celeblossuma,,,,,,,,,,,,,,http://pbs.twimg.com/profile_images/1146002420205408257/k-He83YJ_normal.jpg
155,ENFJ,,ilovesunu,,,,,,,,,,,,,,http://pbs.twimg.com/profile_images/1143021352640765952/3QS2wrW0_normal.jpg
156,ENFJ,,JulieFalatko,,,"Maine, USA",,,,,,,,,,,http://pbs.twimg.com/profile_images/704639589529419778/1ItWI9sh_normal.jpg
157,ENFJ,,Datawrangler32,,,,,,,,,,,,,,http://pbs.twimg.com/profile_images/1031761448790310913/Z2wpWVsp_normal.jpg
158,ENFJ,,joynessthebrave,,,St Andrews or Oxford,,,,,,,,,,,http://pbs.twimg.com/profile_images/1097895075638640643/wVePVKEq_normal.png
159,ENFJ,,flowerlec,,,,,,,,,,,,,,http://pbs.twimg.com/profile_images/1103321841018396673/a4DTzwye_normal.jpg
160,ENFJ,,MunchiesPlace4,,,"Seattle, WA",,,,,,,,,,,http://pbs.twimg.com/profile_images/1119745144666722305/NKH9CUsp_normal.jpg
161,ENFJ,,crooks_erica,,,,,,,,,,,,,,http://pbs.twimg.com/profile_images/1067914487804481536/2GU_elND_normal.jpg
162,ENFJ,,crooks_erica,,,,,,,,,,,,,,http://pbs.twimg.com/profile_images/1067914487804481536/2GU_elND_normal.jpg
163,ENFJ,,moonie_child_,,,,,,,,,,,,,,http://pbs.twimg.com/profile_images/1149807705739202566/pOS63nQ0_normal.jpg
164,ENFJ,,jomwlever,,,"Greater Manchester, England",,,,,,,,,,,http://pbs.twimg.com/profile_images/1146523178229018625/vERU5RDb_normal.jpg
165,ENFJ,,princezothaking,,,[[415]] ,,,,,,,,,,,http://pbs.twimg.com/profile_images/947997671762968577/41I-gVdY_normal.jpg
166,ENFJ,,RetroSlayed,,,,,,,,,,,,,,http://pbs.twimg.com/profile_images/1150140658365161473/NRKC-1J0_normal.jpg
167,ENFJ,,BeriaultLindsay,,,amongst the merpeople,,,,,,,,,,,http://pbs.twimg.com/profile_images/736378902214496257/_-m10MjX_normal.jpg
168,ENFJ,,ACuriousAna,,,"Calgary, Alberta",,,,,,,,,,,http://pbs.twimg.com/profile_images/926627110117974017/M_rwFs6P_normal.jpg
169,ENFJ,,hmwilsonauthor,,,,,,,,,,,,,,http://pbs.twimg.com/profile_images/1098229368822919168/j6i8f2kI_normal.jpg
170,ENFJ,,flowerlec,,,,,,,,,,,,,,http://pbs.twimg.com/profile_images/1103321841018396673/a4DTzwye_normal.jpg
171,ENFJ,,TheGalexi33,,,Venus,,,,,,,,,,,http://pbs.twimg.com/profile_images/1090366780764291073/I75SRtuj_normal.jpg
172,ENFJ,,JohannesPinina,,,,,,,,,,,,,,http://pbs.twimg.com/profile_images/1067147954308427776/RI6Mr6C1_normal.jpg
173,ENFJ,,KellyLeeBennett,,,International,,,,,,,,,,,http://pbs.twimg.com/profile_images/925058592436133888/FcDaIfwc_normal.jpg
174,ENFJ,,Roland00Address,,,,,,,,,,,,,,http://pbs.twimg.com/profile_images/897307124081893377/SVxO4M05_normal.jpg
175,ENFJ,,CarolineLangst,,,"Washington, DC",,,,,,,,,,,http://pbs.twimg.com/profile_images/1143934511111188480/AyUAjmZa_normal.jpg
